11:48:10 [root] [INFO] 日志系统初始化完成。文件保存至: logs/2026-02-10_11-48-10.log
11:48:12 [utills.ip_validator] [DEBUG] IP 127.0.0.3 是回环地址（本地测试用）
11:48:13 [election] [INFO] [I'm Follower - (499793019, 127.0.0.3)] Election Manager starting
11:48:13 [election] [INFO] [I'm Follower - (499793019, 127.0.0.3)] UDP listener started on UDP:9003
11:48:14 [network_manager] [DEBUG] Starting follower long-lived connection to leader at 127.0.0.1...
11:48:14 [network_manager] [DEBUG] Follower established long-lived connection to leader at 127.0.0.1
11:48:17 [server.heartbeat] [DEBUG] [I'm Follower - 499793019] Heartbeat received message: HEARTBEAT {'server_id': 19636079, 'timestamp': 1770720497.0509372, 'identity': 'LEADER'} from 19636079, current memnershiplist is {572671081: '127.0.0.2', 499793019: '127.0.0.3', 19636079: '127.0.0.1'}
11:48:20 [server.heartbeat] [DEBUG] [I'm Follower - 499793019] Heartbeat received message: HEARTBEAT {'server_id': 19636079, 'timestamp': 1770720500.0488808, 'identity': 'LEADER'} from 19636079, current memnershiplist is {572671081: '127.0.0.2', 499793019: '127.0.0.3', 19636079: '127.0.0.1'}
11:48:23 [server.heartbeat] [DEBUG] [I'm Follower - 499793019] Heartbeat received message: HEARTBEAT {'server_id': 19636079, 'timestamp': 1770720503.046153, 'identity': 'LEADER'} from 19636079, current memnershiplist is {572671081: '127.0.0.2', 499793019: '127.0.0.3', 19636079: '127.0.0.1'}
11:48:26 [server.heartbeat] [DEBUG] [I'm Follower - 499793019] Heartbeat received message: HEARTBEAT {'server_id': 19636079, 'timestamp': 1770720506.04899, 'identity': 'LEADER'} from 19636079, current memnershiplist is {572671081: '127.0.0.2', 499793019: '127.0.0.3', 19636079: '127.0.0.1'}
11:48:29 [server.heartbeat] [DEBUG] [I'm Follower - 499793019] Heartbeat received message: HEARTBEAT {'server_id': 19636079, 'timestamp': 1770720509.0469818, 'identity': 'LEADER'} from 19636079, current memnershiplist is {572671081: '127.0.0.2', 499793019: '127.0.0.3', 19636079: '127.0.0.1'}
11:48:32 [server.heartbeat] [DEBUG] [I'm Follower - 499793019] Heartbeat received message: HEARTBEAT {'server_id': 19636079, 'timestamp': 1770720512.050926, 'identity': 'LEADER'} from 19636079, current memnershiplist is {572671081: '127.0.0.2', 499793019: '127.0.0.3', 19636079: '127.0.0.1'}
11:48:35 [server.heartbeat] [DEBUG] [I'm Follower - 499793019] Heartbeat received message: HEARTBEAT {'server_id': 19636079, 'timestamp': 1770720515.050923, 'identity': 'LEADER'} from 19636079, current memnershiplist is {572671081: '127.0.0.2', 499793019: '127.0.0.3', 19636079: '127.0.0.1'}
11:48:38 [server.heartbeat] [DEBUG] [I'm Follower - 499793019] Heartbeat received message: HEARTBEAT {'server_id': 19636079, 'timestamp': 1770720518.048964, 'identity': 'LEADER'} from 19636079, current memnershiplist is {572671081: '127.0.0.2', 499793019: '127.0.0.3', 19636079: '127.0.0.1'}
11:48:41 [server.heartbeat] [DEBUG] [I'm Follower - 499793019] Heartbeat received message: HEARTBEAT {'server_id': 19636079, 'timestamp': 1770720521.0505579, 'identity': 'LEADER'} from 19636079, current memnershiplist is {572671081: '127.0.0.2', 499793019: '127.0.0.3', 19636079: '127.0.0.1'}
11:48:44 [server.heartbeat] [DEBUG] [I'm Follower - 499793019] Heartbeat received message: HEARTBEAT {'server_id': 19636079, 'timestamp': 1770720524.049398, 'identity': 'LEADER'} from 19636079, current memnershiplist is {572671081: '127.0.0.2', 499793019: '127.0.0.3', 19636079: '127.0.0.1'}
11:48:47 [server.heartbeat] [DEBUG] [I'm Follower - 499793019] Heartbeat received message: HEARTBEAT {'server_id': 19636079, 'timestamp': 1770720527.050928, 'identity': 'LEADER'} from 19636079, current memnershiplist is {572671081: '127.0.0.2', 499793019: '127.0.0.3', 19636079: '127.0.0.1'}
11:48:50 [server.heartbeat] [DEBUG] [I'm Follower - 499793019] Heartbeat received message: HEARTBEAT {'server_id': 19636079, 'timestamp': 1770720530.0509539, 'identity': 'LEADER'} from 19636079, current memnershiplist is {572671081: '127.0.0.2', 499793019: '127.0.0.3', 19636079: '127.0.0.1'}
