12:03:00 [root] [INFO] 日志系统初始化完成。文件保存至: logs/2026-02-10_12-03-00.log
12:03:02 [utills.ip_validator] [DEBUG] IP 127.0.0.3 是回环地址（本地测试用）
12:03:02 [election] [INFO] [I'm Follower - (292780094, 127.0.0.3)] Election Manager starting
12:03:02 [election] [INFO] [I'm Follower - (292780094, 127.0.0.3)] UDP listener started on UDP:9003
12:03:03 [network_manager] [DEBUG] Starting follower long-lived connection to leader at 127.0.0.1...
12:03:03 [network_manager] [DEBUG] Follower established long-lived connection to leader at 127.0.0.1
12:03:59 [server_role] [INFO] [Server 292780094] Added chatroom 604159790_1 to list: {'chatroom_id': '604159790_1', 'name': 'Chatting 2', 'server_id': 604159790, 'server_ip': '127.0.0.2', 'port': 17001, 'clients_count': 0}
12:04:00 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721440.736476, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:04:03 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721443.738165, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:04:06 [server_role] [INFO] [Follower 292780094] Creating local chatroom: chatting_3
12:04:06 [server_role] [INFO] [Follower 292780094] Created chatroom 292780094_1, reported to Leader
12:04:06 [server_role] [INFO] [Server 292780094] Added chatroom 292780094_1 to list: {'chatroom_id': '292780094_1', 'name': 'chatting_3', 'server_id': 292780094, 'server_ip': '127.0.0.3', 'port': 17401, 'clients_count': 0}
12:04:06 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721446.7376819, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:04:09 [server_role] [INFO] [Server 292780094] Added chatroom 736226217_2 to list: {'chatroom_id': '736226217_2', 'name': 'chatting_4', 'server_id': 736226217, 'server_ip': '127.0.0.1', 'port': 9702, 'clients_count': 0}
12:04:09 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721449.7382, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:04:12 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721452.733831, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:04:15 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721455.734779, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:04:16 [server_role] [INFO] [Server 292780094] Added chatroom 604159790_2 to list: {'chatroom_id': '604159790_2', 'name': 'chatting_5', 'server_id': 604159790, 'server_ip': '127.0.0.2', 'port': 17002, 'clients_count': 0}
12:04:18 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721458.737473, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:04:21 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721461.738196, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:04:24 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721464.738215, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:04:27 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721467.734238, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:04:30 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721470.7377348, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:04:33 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721473.737396, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:04:36 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721476.735649, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:04:39 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721479.738186, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:04:42 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721482.738244, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:04:45 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721485.737684, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:04:48 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721488.738197, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:04:51 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721491.738195, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:04:54 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721494.73708, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:04:57 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721497.733373, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:05:00 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721500.738197, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:05:03 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721503.738189, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:05:06 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721506.738197, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:05:09 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721509.738195, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:05:12 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721512.738189, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:05:15 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721515.736625, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:05:18 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721518.7342699, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:05:21 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721521.737243, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
